url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,valoracion,num_resenas,precio
https://www.lentiamo.es/under-armour-ua-0003-g-s-0uv-6a-99.html,Under Armour,UA 0003/G/S 0UV 6A 99,sol,Hombre,Pasta,Rectangulares,,Gris,L,,17.0,120.0,141.0,60.0,True,,,93.86
https://www.lentiamo.es/tommy-hilfiger-th-1951-s-003-m9-55.html,Tommy Hilfiger,TH1951/S 003 M9 55,sol,Unisex,Pasta,Rectangulares,,Negro,M,,20.0,135.0,134.0,215.0,True,,,89.01
https://www.lentiamo.es/versace-0ve-2264-10016g-56.html,Versace,0VE2264 10016G 56,sol,Unisex,Metal,Redondas,,Gris,M,,18.0,140.0,138.0,380.0,False,,,279.9
https://www.lentiamo.es/uvex-equate-grey-ping-matt-mir-pink-s5330822316.html,Uvex Sports,S5330822316,sol,Unisex,Pasta,Rectangulares,,Gris,S,,17.0,120.0,125.0,45.0,False,,,20.99
https://www.lentiamo.es/uvex-lgl-53-smoke-mir-gold-s5330799916.html,Uvex Sports,S5330799916,sol,Unisex,Pasta,Redondas,,Gris,M,,16.0,145.0,130.0,75.0,False,,,54.99
https://www.lentiamo.es/versace-0ve-2245-100273-60.html,Versace,0VE2245 100273 60,sol,Mujer,Metal,Rectangulares,,Dorado,M,,13.0,145.0,134.0,370.0,False,,,174.9
https://www.lentiamo.es/uvex-sportstyle-233p-s5320975540.html,Uvex Sports,233P S5320975540,sol,Unisex,Pasta,Rectangulares,,Plateado,M,,16.0,130.0,131.0,85.0,True,,,42.99
https://www.lentiamo.es/versace-0ve-2238-143687-61.html,Versace,0VE2238 143687 61,sol,Hombre,Metal,Rectangulares,,Dorado,L,,13.0,140.0,143.0,365.0,False,,,179.9
https://www.lentiamo.es/uvex-equate-white-matt-mir-silver-s5330828816.html,Uvex Sports,S5330828816,sol,Unisex,Pasta,Rectangulares,,Gris,S,,17.0,120.0,125.0,45.0,False,,,23.99
https://www.lentiamo.es/uvex-sportstyle-235-rhi-de-sp-m-mir-blue-s5330035416.html,Uvex Sports,S5330035416,sol,Unisex,Pasta,Rectangulares,,Gris,M,,18.0,125.0,135.0,85.0,False,,,73.99
https://www.lentiamo.es/versace-0ve-2232-143887-61.html,Versace,0VE2232 143887 61,sol,Mujer,Metal/Pasta,Aviador,,Dorado,L,,18.0,145.0,150.0,450.0,False,,,239.9
https://www.lentiamo.es/versace-0ve-2257-100287-60.html,Versace,0VE2257 100287 60,sol,Hombre,Metal,Rectangulares,,Dorado,M,,16.0,145.0,140.0,300.0,False,,,194.9
https://www.lentiamo.es/uvex-sportstyle-215-black-ltm-silver-s5306172216.html,Uvex Sports,215 S5306172216,sol,Unisex,Pasta,Rectangulares,,Negro,M,,16.0,118.0,133.0,40.0,False,,,28.99
