Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Grupo de edad	Sexo	periodo	Total
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	4,2
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	2,7
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	4,7
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	2,2
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	3,1
Total Nacional	Cantabria	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	2,0
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Hombre	2020	4,8
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Hombre	2019	3,2
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Hombre	2018	3,5
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Mujer	2020	3,5
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Mujer	2019	3,2
Total Nacional	Cantabria	Personas que viven solas	25-34 años	Mujer	2018	2,4
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	1,4
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	0,6
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	0,2
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	1,6
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	0,5
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	..
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	1,0
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	0,2
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	1,4
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	1,8
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	0,2
Total Nacional	Cantabria	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	0,8
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	11,4
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	17,4
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	16,5
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	19,2
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	27,5
Total Nacional	Castilla y León	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	29,0
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	18,2
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	15,2
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	19,9
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	24,3
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	18,3
Total Nacional	Castilla y León	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	23,7
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	..
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	1,0
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	..
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	4,8
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	3,3
Total Nacional	Castilla y León	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	5,3
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	50,0
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	45,6
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	43,6
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	31,0
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	35,0
Total Nacional	Castilla y León	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	29,4
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	14,7
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	16,6
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	17,5
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	13,3
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	12,3
Total Nacional	Castilla y León	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	10,8
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Hombre	2020	13,5
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Hombre	2019	14,3
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Hombre	2018	14,1
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Mujer	2020	13,8
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Mujer	2019	10,5
Total Nacional	Castilla y León	Personas que viven solas	25-34 años	Mujer	2018	11,6
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	6,1
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	3,4
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	6,2
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	1,4
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	2,2
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	2,2
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	0,2
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	3,5
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	2,8
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	0,9
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	2,5
Total Nacional	Castilla y León	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	3,3
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	15,8
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	20,3
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	17,7
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	31,5
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	28,9
Total Nacional	Castilla - La Mancha	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	35,1
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	18,5
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	20,6
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	19,3
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	25,2
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	26,0
Total Nacional	Castilla - La Mancha	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	19,6
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	0,7
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	..
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	0,9
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	5,5
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	4,1
Total Nacional	Castilla - La Mancha	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	7,5
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	48,8
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	43,7
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	45,7
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	27,1
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	29,0
Total Nacional	Castilla - La Mancha	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	33,4
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	13,6
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	10,4
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	10,6
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	12,2
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	11,1
Total Nacional	Castilla - La Mancha	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	9,2
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Hombre	2020	14,1
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Hombre	2019	13,7
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Hombre	2018	17,4
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Mujer	2020	3,9
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Mujer	2019	6,7
Total Nacional	Castilla - La Mancha	Personas que viven solas	25-34 años	Mujer	2018	5,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	4,3
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	7,4
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	5,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	2,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	2,0
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	3,6
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	2,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	2,8
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	3,7
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	3,2
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	4,5
Total Nacional	Castilla - La Mancha	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	0,8
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	83,2
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	76,4
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	69,6
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	96,8
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	127,7
Total Nacional	Cataluña	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	131,8
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	106,3
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	106,8
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	106,4
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	128,2
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	120,1
Total Nacional	Cataluña	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	113,1
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	1,9
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	3,6
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	2,3
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	23,0
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	12,4
Total Nacional	Cataluña	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	18,2
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	110,6
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	110,2
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	116,1
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	83,0
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	72,2
Total Nacional	Cataluña	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	78,5
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	43,6
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	36,3
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	41,2
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	35,8
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	28,9
Total Nacional	Cataluña	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	19,6
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Hombre	2020	44,1
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Hombre	2019	48,5
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Hombre	2018	51,2
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Mujer	2020	31,4
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Mujer	2019	39,9
Total Nacional	Cataluña	Personas que viven solas	25-34 años	Mujer	2018	37,5
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	18,4
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	19,7
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	10,7
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	10,7
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	17,5
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	9,9
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	28,0
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	28,9
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	21,7
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	29,9
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	20,0
Total Nacional	Cataluña	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	25,0
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	42,1
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	47,2
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	49,6
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	68,4
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	82,5
Total Nacional	Comunitat Valenciana	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	85,4
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	51,4
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	54,8
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	43,0
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	63,4
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	61,0
Total Nacional	Comunitat Valenciana	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	46,7
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	3,5
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	..
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	1,2
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	13,7
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	12,6
Total Nacional	Comunitat Valenciana	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	18,7
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	81,5
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	93,1
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	86,0
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	57,6
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	58,7
Total Nacional	Comunitat Valenciana	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	63,1
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	38,9
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	29,6
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	35,6
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	22,8
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	21,6
Total Nacional	Comunitat Valenciana	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	15,9
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Hombre	2020	40,8
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Hombre	2019	29,6
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Hombre	2018	32,8
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Mujer	2020	26,4
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Mujer	2019	16,3
Total Nacional	Comunitat Valenciana	Personas que viven solas	25-34 años	Mujer	2018	22,0
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	5,0
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	13,2
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	12,3
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	9,2
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	8,2
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	9,6
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	8,9
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	4,7
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	11,4
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	7,0
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	9,0
Total Nacional	Comunitat Valenciana	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	9,6
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	5,5
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	7,8
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	10,4
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	11,4
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	13,7
Total Nacional	Extremadura	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	16,1
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	10,2
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	11,2
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	11,4
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	11,8
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	12,6
Total Nacional	Extremadura	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	11,5
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	..
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	0,5
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	0,3
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	2,7
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	1,9
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	4,7
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	26,0
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	23,9
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	23,8
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	17,0
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	18,3
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	16,7
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	7,3
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	8,7
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	6,6
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	5,9
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	4,1
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	5,3
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Hombre	2020	9,8
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Hombre	2019	7,9
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Hombre	2018	8,0
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Mujer	2020	7,9
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Mujer	2019	5,8
Total Nacional	Extremadura	Personas que viven solas	25-34 años	Mujer	2018	2,5
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	1,5
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	1,8
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	2,7
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	0,8
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	2,2
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	2,4
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	1,2
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	1,0
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	1,4
