Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Sexo	Grupo de edad	periodo	Total
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	23,8
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	28,1
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	27,5
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	9,6
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	11,2
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	11,0
Total Nacional	Asturias, Principado de	Personas que viven solas	Ambos sexos	25-34 años	2020	9,2
Total Nacional	Asturias, Principado de	Personas que viven solas	Ambos sexos	25-34 años	2019	14,7
Total Nacional	Asturias, Principado de	Personas que viven solas	Ambos sexos	25-34 años	2018	14,0
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	2,3
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	2,6
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	3,4
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	0,9
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	1,6
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	2,1
Total Nacional	Balears, Illes	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	29,1
Total Nacional	Balears, Illes	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	46,8
Total Nacional	Balears, Illes	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	45,4
Total Nacional	Balears, Illes	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	45,0
Total Nacional	Balears, Illes	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	37,1
Total Nacional	Balears, Illes	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	33,8
Total Nacional	Balears, Illes	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	5,7
