Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Sexo	Grupo de edad	periodo	Total
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	2,7
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	2,4
Total Nacional	Extremadura	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	5,0
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	43,0
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	42,2
Total Nacional	Extremadura	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	40,6
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	13,1
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	12,9
Total Nacional	Extremadura	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	11,9
Total Nacional	Extremadura	Personas que viven solas	Ambos sexos	25-34 años	2020	17,7
Total Nacional	Extremadura	Personas que viven solas	Ambos sexos	25-34 años	2019	13,6
Total Nacional	Extremadura	Personas que viven solas	Ambos sexos	25-34 años	2018	10,5
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	2,3
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	4,0
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	5,0
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	2,2
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	2,0
Total Nacional	Extremadura	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	3,1
Total Nacional	Galicia	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	48,4
Total Nacional	Galicia	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	45,3
Total Nacional	Galicia	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	46,9
Total Nacional	Galicia	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	53,8
Total Nacional	Galicia	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	51,5
Total Nacional	Galicia	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	48,7
Total Nacional	Galicia	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	3,6
Total Nacional	Galicia	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	7,1
Total Nacional	Galicia	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	8,1
Total Nacional	Galicia	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	88,4
Total Nacional	Galicia	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	89,4
Total Nacional	Galicia	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	90,2
Total Nacional	Galicia	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	25,4
Total Nacional	Galicia	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	30,1
Total Nacional	Galicia	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	37,5
Total Nacional	Galicia	Personas que viven solas	Ambos sexos	25-34 años	2020	27,7
Total Nacional	Galicia	Personas que viven solas	Ambos sexos	25-34 años	2019	29,8
Total Nacional	Galicia	Personas que viven solas	Ambos sexos	25-34 años	2018	28,3
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	5,5
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	7,1
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	6,8
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	4,9
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	3,6
Total Nacional	Galicia	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	4,9
Total Nacional	Madrid, Comunidad de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	158,3
Total Nacional	Madrid, Comunidad de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	165,3
Total Nacional	Madrid, Comunidad de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	178,9
Total Nacional	Madrid, Comunidad de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	159,4
Total Nacional	Madrid, Comunidad de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	157,3
Total Nacional	Madrid, Comunidad de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	168,4
Total Nacional	Madrid, Comunidad de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	13,1
Total Nacional	Madrid, Comunidad de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	21,5
Total Nacional	Madrid, Comunidad de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	16,5
Total Nacional	Madrid, Comunidad de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	232,2
Total Nacional	Madrid, Comunidad de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	197,4
Total Nacional	Madrid, Comunidad de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	204,6
Total Nacional	Madrid, Comunidad de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	61,5
Total Nacional	Madrid, Comunidad de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	88,0
Total Nacional	Madrid, Comunidad de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	68,3
Total Nacional	Madrid, Comunidad de	Personas que viven solas	Ambos sexos	25-34 años	2020	66,7
Total Nacional	Madrid, Comunidad de	Personas que viven solas	Ambos sexos	25-34 años	2019	66,9
Total Nacional	Madrid, Comunidad de	Personas que viven solas	Ambos sexos	25-34 años	2018	73,1
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	36,4
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	39,3
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	24,9
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	79,5
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	58,9
Total Nacional	Madrid, Comunidad de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	49,9
Total Nacional	Murcia, Región de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	45,6
Total Nacional	Murcia, Región de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	46,4
Total Nacional	Murcia, Región de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	40,5
Total Nacional	Murcia, Región de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	27,9
Total Nacional	Murcia, Región de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	34,1
Total Nacional	Murcia, Región de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	37,0
Total Nacional	Murcia, Región de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	3,0
Total Nacional	Murcia, Región de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	3,3
Total Nacional	Murcia, Región de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	7,0
Total Nacional	Murcia, Región de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	62,7
Total Nacional	Murcia, Región de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	51,4
Total Nacional	Murcia, Región de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	56,4
Total Nacional	Murcia, Región de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	18,0
Total Nacional	Murcia, Región de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	16,9
Total Nacional	Murcia, Región de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	21,0
Total Nacional	Murcia, Región de	Personas que viven solas	Ambos sexos	25-34 años	2020	9,3
Total Nacional	Murcia, Región de	Personas que viven solas	Ambos sexos	25-34 años	2019	13,1
Total Nacional	Murcia, Región de	Personas que viven solas	Ambos sexos	25-34 años	2018	10,5
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	6,0
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	7,8
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	3,2
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	7,4
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	6,3
Total Nacional	Murcia, Región de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	3,4
Total Nacional	Navarra, Comunidad Foral de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	14,6
Total Nacional	Navarra, Comunidad Foral de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	19,4
Total Nacional	Navarra, Comunidad Foral de	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	19,5
Total Nacional	Navarra, Comunidad Foral de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	13,0
Total Nacional	Navarra, Comunidad Foral de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	11,4
Total Nacional	Navarra, Comunidad Foral de	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	10,5
Total Nacional	Navarra, Comunidad Foral de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	2,1
Total Nacional	Navarra, Comunidad Foral de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	1,1
Total Nacional	Navarra, Comunidad Foral de	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	1,7
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	20,9
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	17,8
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	14,6
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	5,8
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	4,3
Total Nacional	Navarra, Comunidad Foral de	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	7,7
Total Nacional	Navarra, Comunidad Foral de	Personas que viven solas	Ambos sexos	25-34 años	2020	6,3
Total Nacional	Navarra, Comunidad Foral de	Personas que viven solas	Ambos sexos	25-34 años	2019	7,5
Total Nacional	Navarra, Comunidad Foral de	Personas que viven solas	Ambos sexos	25-34 años	2018	6,5
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	2,5
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	2,5
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	1,9
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	3,4
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	4,1
Total Nacional	Navarra, Comunidad Foral de	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	5,6
Total Nacional	País Vasco	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	34,0
Total Nacional	País Vasco	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	47,7
Total Nacional	País Vasco	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	36,2
Total Nacional	País Vasco	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	48,8
Total Nacional	País Vasco	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	37,0
Total Nacional	País Vasco	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	42,9
Total Nacional	País Vasco	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	0,9
Total Nacional	País Vasco	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	5,5
Total Nacional	País Vasco	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	6,7
Total Nacional	País Vasco	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	62,3
Total Nacional	País Vasco	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	55,6
Total Nacional	País Vasco	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	57,0
Total Nacional	País Vasco	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	20,3
Total Nacional	País Vasco	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	16,9
Total Nacional	País Vasco	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	20,6
Total Nacional	País Vasco	Personas que viven solas	Ambos sexos	25-34 años	2020	21,0
Total Nacional	País Vasco	Personas que viven solas	Ambos sexos	25-34 años	2019	24,4
Total Nacional	País Vasco	Personas que viven solas	Ambos sexos	25-34 años	2018	19,1
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	5,5
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	2,9
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	7,1
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	13,1
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	16,5
Total Nacional	País Vasco	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	18,6
Total Nacional	Rioja, La	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	6,2
Total Nacional	Rioja, La	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	9,5
Total Nacional	Rioja, La	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	5,9
Total Nacional	Rioja, La	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	5,8
Total Nacional	Rioja, La	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	5,2
Total Nacional	Rioja, La	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	7,3
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	0,4
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	0,5
Total Nacional	Rioja, La	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	0,1
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	9,3
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	6,6
Total Nacional	Rioja, La	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	9,0
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	3,9
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	4,8
Total Nacional	Rioja, La	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	3,4
Total Nacional	Rioja, La	Personas que viven solas	Ambos sexos	25-34 años	2020	3,9
Total Nacional	Rioja, La	Personas que viven solas	Ambos sexos	25-34 años	2019	3,5
Total Nacional	Rioja, La	Personas que viven solas	Ambos sexos	25-34 años	2018	4,1
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	0,8
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	1,4
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	2,3
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	1,5
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	0,4
Total Nacional	Rioja, La	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	0,4
