modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
0RX5277 2077 54,Ray-Ban,Unisex,Acetato,Rectangulares,Montura completa,negro,M,54.0,17.0,140.0,170.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.38571428571428573,918.0,0.18518518518518517,125.0,1,1,1,0,170.0,114.9,4.752727750345706
GG1221O 005 56,Gucci,Hombre,Metal,Rectangulares,Montura al aire,dorado,M,56.0,16.0,140.0,210.0,lujo,moda_lujo,Italia,260.0,520.0,metal,media_alta,medio,0.4,896.0,0.234375,128.0,0,0,0,0,390.0,279.9,5.637998734110198
Oakley Hex Jector OX 8032 02,Oakley,Hombre,Pasta,Rectangulares,Montura completa,gris,M,55.0,17.0,140.0,195.0,gama_media,deportiva,Estados Unidos,100.0,240.0,acetato,media,ligero,0.39285714285714285,935.0,0.20855614973262032,127.0,1,0,0,0,170.0,99.9,4.6141299273595635
ET17565 543 53,Esprit,Unisex,Pasta,Rectangulares,Montura completa,azul,S,53.0,16.0,145.0,85.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.36551724137931035,848.0,0.10023584905660378,122.0,1,1,0,0,110.0,85.99,4.46579316951945
GG0738O 007 48,Gucci,Mujer,Pasta,Redondas,Montura completa,verde,M,48.0,21.0,150.0,195.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.32,1008.0,0.19345238095238096,117.0,1,0,0,0,390.0,276.9,5.627261336748458
Ray-Ban 0RX6489 2500,Ray-Ban,Unisex,Metal,Aviador,Montura completa,dorado,M,52.0,18.0,145.0,100.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,metal,media_alta,medio,0.3586206896551724,936.0,0.10683760683760683,122.0,1,1,0,0,170.0,114.9,4.752727750345706
0PR A51V 1BC1O1 55,Prada,Mujer,Metal,Cuadradas,Montura completa,plateado,M,55.0,19.0,140.0,265.0,lujo,moda_lujo,Italia,260.0,520.0,metal,media_alta,medio,0.39285714285714285,1045.0,0.2535885167464115,129.0,1,0,0,0,390.0,229.9,5.44198471636045
GG0121O 002 49,Gucci,Mujer,Pasta,Redondas,Montura completa,marron,M,49.0,21.0,145.0,200.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.33793103448275863,1029.0,0.19436345966958213,119.0,1,0,1,0,390.0,189.9,5.251749730731702
GG0093O 001 53,Gucci,Mujer,Pasta,Cat Eye,Montura completa,negro,M,53.0,17.0,140.0,200.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.37857142857142856,901.0,0.22197558268590456,123.0,1,0,1,0,390.0,189.9,5.251749730731702
GG1817O 001 55,Gucci,Mujer,Pasta,Cat Eye,Montura completa,negro,M,55.0,16.0,140.0,160.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.39285714285714285,880.0,0.18181818181818182,126.0,1,0,1,0,390.0,175.9,5.17558460116574
Ray-Ban 0RX6375 2890,Ray-Ban,Unisex,Metal,Redondas,Montura completa,negro,M,52.0,18.0,145.0,100.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,metal,media_alta,medio,0.3586206896551724,936.0,0.10683760683760683,122.0,1,1,1,0,170.0,103.9,4.653007515402251
Prada 0PR 09ZV 1AB101,Prada,Mujer,Pasta,Cuadradas,Montura completa,negro,M,53.0,18.0,145.0,280.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.36551724137931035,954.0,0.29350104821802936,124.0,1,0,1,0,390.0,199.9,5.302807271820889
ET17464 538 54/15,Esprit,Unisex,Pasta,Rectangulares,Montura completa,negro,M,54.0,15.0,140.0,40.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.38571428571428573,810.0,0.04938271604938271,123.0,1,1,1,0,110.0,78.9,4.380775852772229
0OV1368T 5254 44,Oliver Peoples,Unisex,Titanio,Redondas,Montura completa,plateado,S,44.0,23.0,169.0,205.0,premium,moda_premium,Estados Unidos,180.0,320.0,titanio,alta,ligero,0.2603550295857988,1012.0,0.2025691699604743,111.0,1,1,0,0,250.0,479.9,6.175659348283617
